"전기차 충전 요금(2026-04-14)","name","Column3","Column4","Column5","Column6","Column7","Column8"
"","","","","","","",""
순번,사업자명,요금유형,용량구분,회원가,"",비회원가,갱신일자
"","","","",충전요금(원),비고,충전요금(원),""
"1",기후에너지환경부,대표,급속(100kW미만),"324.4","","324.4","2026-03-13"
"2",기후에너지환경부,대표,급속(100kW이상),"347.2","","347.2","2026-03-13"
"3",E1,대표,완속,"301.4","","301.4","2026-03-13"
"4",E1,대표,급속(100kW이상),"313.1","","313.1","2026-03-13"
"5",GS차지비,대표,완속,"319","","470","2026-03-13"
"6",GS차지비,대표,급속(100kW미만),"335","","470","2026-03-13"
"7",GS차지비,대표,급속(100kW이상),"345","","470","2026-03-13"
"8",KH에너지,대표,급속(100kW미만),"347",비회원가 없음,-,"2026-03-13"
"9",KH에너지,대표,급속(100kW이상),"347",비회원가 없음,-,"2026-03-13"
"10",LG유플러스 볼트업,대표,완속,"318","","450","2026-03-13"
"11",LG유플러스 볼트업,대표,급속(100kW이상),"350","","450","2026-03-13"
"12",NICE인프라,대표,완속,"324","","324","2026-03-13"
"13",NICE인프라,대표,급속(100kW미만),"350","","350","2026-03-13"
"14",NICE인프라,대표,급속(100kW이상),"350","","350","2026-03-13"
"15",SG생활안전,대표,완속,"315","","450","2026-03-13"
"16",SG생활안전,대표,급속(100kW미만),"350","","450","2026-03-13"
"17",SG생활안전,대표,급속(100kW이상),"350","","450","2026-03-13"
"18",SK렌터카,대표,완속,"310",비회원가 없음,-,"2026-03-13"
"19",SK렌터카,대표,급속(100kW미만),"350",비회원가 없음,-,"2026-03-13"
"20",SK렌터카,대표,급속(100kW이상),"380",비회원가 없음,-,"2026-03-13"
"21",SK시그넷,대표,급속(100kW이상),"395",완속 미운영,"395","2026-03-13"
"22",SK에너지,대표,완속,"286","","286","2026-03-13"
"23",SK에너지,대표,급속(100kW미만),"347.2","","450","2026-03-13"
"24",SK일렉링크,대표,완속,"295","","590","2026-03-13"
"25",가온건설,대표,완속,"324.4",비회원가 없음,-,"2026-03-13"
"26",가온건설,대표,급속(100kW미만),"347.2",비회원가 없음,-,"2026-03-13"
"27",광성계측기,대표,완속,"240",비회원가 없음,-,"2026-03-13"
"28",광성계측기,대표,급속(100kW미만),"320",비회원가 없음,-,"2026-03-13"
"29",그리드위즈,대표,완속,"280",비회원가 없음,-,"2026-03-13"
"30",그리드위즈,대표,급속(100kW미만),"340",비회원가 없음,-,"2026-03-13"
"31",그린전력,대표,완속,"324.4",비회원가 없음,-,"2026-03-13"
"32",그린전력,대표,급속(100kW미만),"347.2",비회원가 없음,-,"2026-03-13"
"33",넥씽,대표,완속,"300","","400","2026-03-13"
"34",넥씽,대표,급속(100kW미만),"350","","400","2026-03-13"
"35",농협경제지주 신재생에너지센터,대표,완속,"274","","385","2026-03-18"
"36",농협경제지주 신재생에너지센터,대표,중속,"287","",-,"2026-03-18"
"37",농협경제지주 신재생에너지센터,대표,급속(100kW미만),"307","","385","2026-03-18"
"38",농협경제지주 신재생에너지센터,대표,급속(100kW이상),"327","","385","2026-03-18"
"39",뉴로모빌리티,대표,완속,"280","","280","2026-03-16"
"40",뉴로모빌리티,대표,급속(100kW미만),"324","","324","2026-03-16"
"41",뉴로모빌리티,대표,급속(100kW이상),"324","","324","2026-03-16"
"42",뉴텍솔루션,대표,완속,"270","","370","2026-03-13"
"43",뉴텍솔루션,대표,급속(100kW미만),"280","","440","2026-03-13"
"44",대성물류건설,대표,완속,"250","","500","2026-03-13"
"45",동양이엔피,대표,완속,"280","","280","2026-03-13"
"46",동양이엔피,대표,급속(100kW이상),"350",비회원가 없음,-,"2026-03-13"
"47",두루스코이브이,대표,완속,"250","","350","2026-03-13"
"48",두루스코이브이,대표,급속(100kW미만),"340","","400","2026-03-13"
"49",딜라이브,대표,완속,"279",비회원가 없음,-,"2026-03-30"
"50",레드이엔지,대표,완속,"260","","400","2026-03-13"
"51",레드이엔지,대표,급속(100kW미만),"400","","500","2026-03-13"
"52",롯데이노베이트,대표,급속(100kW미만),"360","","500","2026-03-13"
"53",롯데이노베이트,대표,급속(100kW이상),"380","","500","2026-03-13"
"54",리셀파워,대표,완속,"294.4","","324.4","2026-03-20"
"55",리셀파워,대표,급속(100kW미만),"306.3","","336.3","2026-03-20"
"56",리셀파워,대표,급속(100kW이상),"317.2","","347.2","2026-03-20"
"57",매니지온,대표,완속,"230","","400","2026-03-13"
"58",매니지온,대표,급속(100kW이상),"324.4","","400","2026-03-13"
"59",메가볼트,대표,완속,"290","","400","2026-03-13"
"60",메가볼트,대표,급속(100kW미만),"330","","400","2026-03-13"
"61",모던텍,대표,완속,"324.7","","380","2026-03-13"
"62",모던텍,대표,급속(100kW이상),"324.7","","380","2026-03-13"
"63",보타리에너지,대표,완속,"286.7","","286.7","2026-03-13"
"64",보타리에너지,대표,급속(100kW미만),"324.4","","324.4","2026-03-13"
"65",보타리에너지,대표,급속(100kW이상),"347.2","","347.2","2026-03-13"
"66",브라이트에너지파트너스,대표,완속,"295",비회원가 없음,-,"2026-03-13"
"67",블루네트웍스,대표,완속,"324.4","","324.4","2026-03-13"
"68",블루네트웍스,대표,급속(100kW이상),"347.2","","347.2","2026-03-13"
"69",서울시,대표,완속,"324.4",비회원가 없음,-,"2026-03-13"
"70",서울시,대표,급속(100kW미만),"324.4",비회원가 없음,-,"2026-03-13"
"71",서울씨엔지,대표,완속,"315","","450","2026-03-13"
"72",서울씨엔지,대표,급속(100kW미만),"350","","450","2026-03-13"
"73",서울씨엔지,대표,급속(100kW이상),"350","","450","2026-03-13"
"74",서현에너지,대표,완속①,"324.4","","324.4","2026-04-01"
"75",선광시스템,대표,완속,"324.4","","324.4","2026-03-13"
"76",선광시스템,대표,급속(100kW미만),"347.2","","347.2","2026-03-13"
"77",소프트베리,대표,완속,"297",주간(비회원가 없음),-,"2026-03-13"
"78",소프트베리,변동,완속①,"275",야간(비회원가 없음),-,"2026-03-13"
"79",스칼라데이터,대표,완속,"320",급속미운영,"320","2026-03-13"
"80",스타코프,대표,완속,"318",비회원가 없음,-,"2026-03-13"
"81",스타코프,대표,급속(100kW이상),"340",비회원가 없음,-,"2026-03-13"
