source,sort,question,answer
tesla,일반,테슬라 차량은 어떻게 주문하나요?,Design Studio를 방문하여 최신 옵션을 확인하고 주문을 진행할 수 있습니다. 차량 디자인에 따라 구매 가격과 예상 배송일이 달라집니다.
tesla,일반,시승을 신청할 수 있나요?,"시승 서비스는 곧 제공될 예정입니다. 최신 테슬라 뉴스, 이벤트 및 제품 업데이트를 받기 위해 등록해 주세요."
tesla,일반,주문과 관련된 문의가 있습니다. 어떻게 도움을 받을 수 있나요?,1800810655로 연락하시면 됩니다.
tesla,일반,차량을 디자인하고 주문을 완료했습니다. 다음 단계는 무엇인가요?,"배송일이 가까워지면 등록 정보, 결제 방법 및 기타 관련 사항을 확인하기 위해 연락드립니다."
tesla,일반,주문 후 디자인을 수정할 수 있나요?,차량 디자인을 최종 확정한 후 주문하실 것을 권장드립니다.
tesla,일반,오늘 주문하면 언제 차량을 받을 수 있나요?,Design Studio에서 예상 배송일을 확인할 수 있습니다. 배송일은 차량 디자인에 따라 달라지며 이는 예상일입니다. 실제 일정은 배송이 가까워지면 더 정확히 안내드립니다.
tesla,일반,주문을 취소할 수 있나요?,"가능합니다. Tesla Advisor에게 문의하세요. 단, 주문 수수료는 환불되지 않습니다."
tesla,일반,테슬라 차량 구매 시 어떤 혜택이 있나요?,"말레이시아에서는 전기차 보급 촉진을 위해 세금 면제, 도로세 면제, 소득공제 등의 혜택이 제공됩니다."
tesla,일반,Tesla Account란 무엇인가요?,"모든 테슬라 제품을 관리하는 공간으로 차량 정보, 배송 일정, 등록 정보 및 업데이트를 확인할 수 있습니다."
tesla,일반,차량 인도를 위해 어떻게 준비해야 하나요?,배송일이 가까워지면 등록 정보 및 결제 방법 등을 확인하기 위해 연락드립니다.
tesla,앱/연결,Tesla 앱은 어떻게 다운로드하나요?,App Store(iOS) 또는 Google Play(Android)에서 다운로드할 수 있습니다.
tesla,일반,차량은 어디에서 인도받나요?,배송이 가까워지면 정확한 인도 장소를 안내드립니다.
tesla,보증,테슬라는 금융 서비스를 제공하나요?,금융 옵션에 대해 알고 싶다면 Tesla Advisor에게 문의하세요.
tesla,일반,테슬라의 추천 보험사는 어디인가요?,말레이시아에서는 Etiqa와 Liberty Insurance가 추천 보험사입니다.
tesla,충전,공공 충전 옵션은 무엇이 있나요?,Tesla 슈퍼차저 네트워크는 확장 중이며 앱을 통해 자동 결제가 이루어집니다.
tesla,충전,가정용 충전 방법은 무엇인가요?,집에서 밤새 충전하는 것이 가장 편리하며 Wall Connector 설치를 권장합니다.
tesla,보증,테슬라 차량의 보증은 어떻게 되나요?,"기본 차량, SRS, 배터리 제한 보증이 포함됩니다."
tesla,보증,기본 차량 제한 보증이란 무엇인가요?,정상 사용 중 발생한 결함에 대해 수리 또는 교체를 보장합니다.
tesla,보증,SRS 제한 보증이란 무엇인가요?,안전벨트 및 에어백 시스템 결함에 대해 보장합니다.
tesla,배터리,배터리 제한 보증이란 무엇인가요?,배터리 결함 및 일부 화재 손상까지 보장합니다.
